<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 250306 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-8619895530000            1          0
4-4528133311               2          2
4-8618804130000            1          1
4-917011075028             1          1
4-639180009014             1          1
4-324750004160404          1          0
4-8614709420000            1          1
4-882285000001103          2          0
4-971550930007             1          1
4-33191905420189           2          2
4-8613524540000            2          2
4-819066519762             1          1
4-8615905380000            1          1
4-67581000120              1          1
4-436760182229             1          1
4-917020075020             3          3
4-639180009017             1          0
4-17874011106              1          0
4-254733000490             1          1
4-550029102207             1          0
4-8613400060000            1          1
4-8615021040000            1          1
4-3319112420011            1          1
4-19039326942              1          1
4-8613441759               1          1
4-861958467000             1          1
4-358508771120             2          2
4-79772539033              1          1
4-8190542113860            1          1
4-19039326957              1          0
4-96475209001935           1          1
4-550112102065             1          0
4-33191346070624           1          0
4-48601000060              1          0
4-861595800000             1          1
4-79167494106              1          1
4-79167494109              1          1
4-79167494250              1          1
4-34622996730              2          1
4-8614778740000            1          1
4-33191905420356           1          1
4-491700600161             1          1
4-79232510104              1          1
4-8613810210000            1          1
4-79184790006              1          1
4-8190542112862            1          1
4-33191905420166           1          1
4-14054729190              1          1
4-59899999961              1          1
4-33191905420185           1          1
4-861309057601             1          1
4-33191905420181           1          1
4-37069899885              1          1
4-33191346070625           1          1
4-79167494174              1          1
4-51195599366              1          1
4-959790000057             1          1
4-4367603036000            1          1
4-8613512140000            1          1
4-14054729316              1          1
4-436677700101             1          0
4-14054729218              1          1

TOTNSUB
1691532

TOTNSUBA
1593286

NSUBPR
0

NSUBXP
0

NSUBPXOU
1691532

NSUBSGS
1092542

NSUBGS
0

END

